,ind1,ind2,combined
3182,INFORMATION TECHNOLOGY AND SERVICES,PHARMACEUTICALS,INFORMATION TECHNOLOGY AND SERVICES|PHARMACEUTICALS
3183,MEDICAL DEVICES,PROFESSIONAL SERVICES,MEDICAL DEVICES|PROFESSIONAL SERVICES
3184,MEDICAL DEVICES,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL DEVICES|HEALTH CARE PROVIDERS AND SERVICES
3185,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
3186,"HEALTH, WELLNESS AND FITNESS",ELECTRICAL EQUIPMENT,"HEALTH, WELLNESS AND FITNESS|ELECTRICAL EQUIPMENT"
3187,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
3188,MACHINERY,INDUSTRIAL CONGLOMERATES,MACHINERY|INDUSTRIAL CONGLOMERATES
3189,MACHINERY,DIVERSIFIED CONSUMER SERVICES,MACHINERY|DIVERSIFIED CONSUMER SERVICES
3190,CONSTRUCTION,MACHINERY,CONSTRUCTION|MACHINERY
3191,MEDICAL DEVICES,COMMUNICATIONS EQUIPMENT,MEDICAL DEVICES|COMMUNICATIONS EQUIPMENT
3192,COMPUTER SOFTWARE,ROAD AND RAIL,COMPUTER SOFTWARE|ROAD AND RAIL
3193,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3194,INSURANCE,DIVERSIFIED CONSUMER SERVICES,INSURANCE|DIVERSIFIED CONSUMER SERVICES
3195,CONSUMER GOODS,INTERNET SOFTWARE AND SERVICES,CONSUMER GOODS|INTERNET SOFTWARE AND SERVICES
3196,MECHANICAL OR INDUSTRIAL ENGINEERING,CONSTRUCTION AND ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING|CONSTRUCTION AND ENGINEERING
3197,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
3198,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
3199,MACHINERY,DIVERSIFIED CONSUMER SERVICES,MACHINERY|DIVERSIFIED CONSUMER SERVICES
3200,MARKETING AND ADVERTISING,PROFESSIONAL SERVICES,MARKETING AND ADVERTISING|PROFESSIONAL SERVICES
3201,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3202,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3203,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3204,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
3205,INSURANCE,INSURANCE,INSURANCE|INSURANCE
3206,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
3207,MACHINERY,BUILDING MATERIALS,MACHINERY|BUILDING MATERIALS
3208,MEDICAL DEVICES,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL DEVICES|HEALTH CARE PROVIDERS AND SERVICES
3209,FINANCIAL SERVICES,CAPITAL MARKETS,FINANCIAL SERVICES|CAPITAL MARKETS
3210,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
3211,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
3212,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
3213,CONSUMER SERVICES,DIVERSIFIED CONSUMER SERVICES,CONSUMER SERVICES|DIVERSIFIED CONSUMER SERVICES
3214,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3215,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
3216,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION
3217,COMPUTER NETWORKING,COMPUTER NETWORKING,COMPUTER NETWORKING|COMPUTER NETWORKING
3218,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
3219,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
3220,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3221,CONSTRUCTION,BUILDING MATERIALS,CONSTRUCTION|BUILDING MATERIALS
3222,MENTAL HEALTH CARE,HOSPITAL AND HEALTH CARE,MENTAL HEALTH CARE|HOSPITAL AND HEALTH CARE
3223,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
3224,ENTERTAINMENT,"HOTELS, RESTAURANTS AND LEISURE","ENTERTAINMENT|HOTELS, RESTAURANTS AND LEISURE"
3225,FINANCIAL SERVICES,COMMERCIAL SERVICES AND SUPPLIES,FINANCIAL SERVICES|COMMERCIAL SERVICES AND SUPPLIES
3226,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
3227,PLASTICS,CHEMICALS,PLASTICS|CHEMICALS
3228,DEFENSE AND SPACE,AEROSPACE AND DEFENSE,DEFENSE AND SPACE|AEROSPACE AND DEFENSE
3229,INDUSTRIAL AUTOMATION,TRANSPORTATION,INDUSTRIAL AUTOMATION|TRANSPORTATION
3230,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3231,MEDICAL DEVICES,AEROSPACE AND DEFENSE,MEDICAL DEVICES|AEROSPACE AND DEFENSE
3232,EVENTS SERVICES,EVENTS SERVICES,EVENTS SERVICES|EVENTS SERVICES
3233,MACHINERY,BUILDING MATERIALS,MACHINERY|BUILDING MATERIALS
3234,MARKETING AND ADVERTISING,"TEXTILES, APPAREL AND LUXURY GOODS","MARKETING AND ADVERTISING|TEXTILES, APPAREL AND LUXURY GOODS"
3235,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
3236,CONSUMER GOODS,BUSINESS SUPPLIES AND EQUIPMENT,CONSUMER GOODS|BUSINESS SUPPLIES AND EQUIPMENT
3237,CONSUMER SERVICES,BUILDING MATERIALS,CONSUMER SERVICES|BUILDING MATERIALS
3238,MEDICAL DEVICES,INTERNET SOFTWARE AND SERVICES,MEDICAL DEVICES|INTERNET SOFTWARE AND SERVICES
3239,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
3240,ENVIRONMENTAL SERVICES,RENEWABLE ELECTRICITY,ENVIRONMENTAL SERVICES|RENEWABLE ELECTRICITY
3241,COMPUTER HARDWARE,COMPUTER HARDWARE,COMPUTER HARDWARE|COMPUTER HARDWARE
3242,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
3243,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3244,BANKING,BANKS,BANKING|BANKS
3245,COMPUTER SOFTWARE,DIVERSIFIED CONSUMER SERVICES,COMPUTER SOFTWARE|DIVERSIFIED CONSUMER SERVICES
3246,INFORMATION SERVICES,MEDIA,INFORMATION SERVICES|MEDIA
3247,PACKAGING AND CONTAINERS,CONTAINERS AND PACKAGING,PACKAGING AND CONTAINERS|CONTAINERS AND PACKAGING
3248,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3249,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
3250,PRINTING,PRINTING,PRINTING|PRINTING
3251,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3252,COMPUTER SOFTWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER SOFTWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
3253,BIOTECHNOLOGY,CHEMICALS,BIOTECHNOLOGY|CHEMICALS
3254,COMPUTER SOFTWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER SOFTWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
3255,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
3256,COMPUTER HARDWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER HARDWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
3257,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3258,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3259,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3260,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3261,INTERNET,MEDIA,INTERNET|MEDIA
3262,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3263,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
3264,ONLINE MEDIA,INTERNET SOFTWARE AND SERVICES,ONLINE MEDIA|INTERNET SOFTWARE AND SERVICES
3265,NONPROFIT ORGANIZATION MANAGEMENT,PHARMACEUTICALS,NONPROFIT ORGANIZATION MANAGEMENT|PHARMACEUTICALS
3266,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
3267,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
3268,TELECOMMUNICATIONS,WIRELESS TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|WIRELESS TELECOMMUNICATION SERVICES
3269,COMPUTER HARDWARE,HOUSEHOLD DURABLES,COMPUTER HARDWARE|HOUSEHOLD DURABLES
3270,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
3271,PRIMARY/SECONDARY EDUCATION,EDUCATION SERVICES,PRIMARY/SECONDARY EDUCATION|EDUCATION SERVICES
3272,SECURITY AND INVESTIGATIONS,DIVERSIFIED CONSUMER SERVICES,SECURITY AND INVESTIGATIONS|DIVERSIFIED CONSUMER SERVICES
3273,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
3274,PRIMARY/SECONDARY EDUCATION,MACHINERY,PRIMARY/SECONDARY EDUCATION|MACHINERY
3275,ONLINE MEDIA,MEDIA,ONLINE MEDIA|MEDIA
3276,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
3277,BANKING,BANKING,BANKING|BANKING
3278,MARKETING AND ADVERTISING,AUTOMOTIVE,MARKETING AND ADVERTISING|AUTOMOTIVE
3279,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3280,LEGAL SERVICES,LEGAL SERVICES,LEGAL SERVICES|LEGAL SERVICES
3281,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
3282,COMPUTER AND NETWORK SECURITY,DIVERSIFIED CONSUMER SERVICES,COMPUTER AND NETWORK SECURITY|DIVERSIFIED CONSUMER SERVICES
3283,RETAIL,CONSUMER DISCRETIONARY,RETAIL|CONSUMER DISCRETIONARY
3284,GOVERNMENT ADMINISTRATION,"HOTELS, RESTAURANTS AND LEISURE","GOVERNMENT ADMINISTRATION|HOTELS, RESTAURANTS AND LEISURE"
3285,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
3286,COMPUTER AND NETWORK SECURITY,DIVERSIFIED CONSUMER SERVICES,COMPUTER AND NETWORK SECURITY|DIVERSIFIED CONSUMER SERVICES
3287,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
3288,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
3289,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
3290,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3291,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
3292,EDUCATION MANAGEMENT,PRIMARY/SECONDARY EDUCATION,EDUCATION MANAGEMENT|PRIMARY/SECONDARY EDUCATION
3293,COMPUTER HARDWARE,HOUSEHOLD DURABLES,COMPUTER HARDWARE|HOUSEHOLD DURABLES
3294,OUTSOURCING/OFFSHORING,IT SERVICES,OUTSOURCING/OFFSHORING|IT SERVICES
3295,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3296,COMPUTER NETWORKING,COMMUNICATIONS EQUIPMENT,COMPUTER NETWORKING|COMMUNICATIONS EQUIPMENT
3297,COMPUTER AND NETWORK SECURITY,COMMUNICATIONS EQUIPMENT,COMPUTER AND NETWORK SECURITY|COMMUNICATIONS EQUIPMENT
3298,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3299,NONPROFIT ORGANIZATION MANAGEMENT,COMMERCIAL SERVICES AND SUPPLIES,NONPROFIT ORGANIZATION MANAGEMENT|COMMERCIAL SERVICES AND SUPPLIES
3300,ACCOUNTING,ACCOUNTING,ACCOUNTING|ACCOUNTING
3301,CONSUMER GOODS,INDUSTRIAL CONGLOMERATES,CONSUMER GOODS|INDUSTRIAL CONGLOMERATES
3302,ONLINE MEDIA,COMMERCIAL SERVICES AND SUPPLIES,ONLINE MEDIA|COMMERCIAL SERVICES AND SUPPLIES
3303,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3304,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
3305,MINING AND METALS,GAS UTILITIES,MINING AND METALS|GAS UTILITIES
3306,INFORMATION TECHNOLOGY AND SERVICES,COMMUNICATIONS EQUIPMENT,INFORMATION TECHNOLOGY AND SERVICES|COMMUNICATIONS EQUIPMENT
3307,FUND-RAISING,EDUCATION SERVICES,FUND-RAISING|EDUCATION SERVICES
3308,RETAIL,SPECIALTY RETAIL,RETAIL|SPECIALTY RETAIL
3309,FISHERY,PROFESSIONAL SERVICES,FISHERY|PROFESSIONAL SERVICES
3310,ANIMATION,INTERNET SOFTWARE AND SERVICES,ANIMATION|INTERNET SOFTWARE AND SERVICES
3311,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
3312,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
3313,INSURANCE,INSURANCE,INSURANCE|INSURANCE
3314,E-LEARNING,COMMERCIAL SERVICES AND SUPPLIES,E-LEARNING|COMMERCIAL SERVICES AND SUPPLIES
3315,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
3316,OUTSOURCING/OFFSHORING,IT SERVICES,OUTSOURCING/OFFSHORING|IT SERVICES
3317,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
3318,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
3319,COMPUTER NETWORKING,GAS UTILITIES,COMPUTER NETWORKING|GAS UTILITIES
3320,COMPUTER AND NETWORK SECURITY,INTERNET SOFTWARE AND SERVICES,COMPUTER AND NETWORK SECURITY|INTERNET SOFTWARE AND SERVICES
3321,GOVERNMENT RELATIONS,ROAD AND RAIL,GOVERNMENT RELATIONS|ROAD AND RAIL
3322,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
3323,COMPUTER SOFTWARE,DIVERSIFIED CONSUMER SERVICES,COMPUTER SOFTWARE|DIVERSIFIED CONSUMER SERVICES
3324,NONPROFIT ORGANIZATION MANAGEMENT,PROFESSIONAL SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|PROFESSIONAL SERVICES
3325,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3326,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
3327,INVESTMENT BANKING,DIVERSIFIED FINANCIAL SERVICES,INVESTMENT BANKING|DIVERSIFIED FINANCIAL SERVICES
3328,CIVIL ENGINEERING,CONSTRUCTION AND ENGINEERING,CIVIL ENGINEERING|CONSTRUCTION AND ENGINEERING
3329,FINANCIAL SERVICES,BANKING,FINANCIAL SERVICES|BANKING
3330,PUBLIC RELATIONS AND COMMUNICATIONS, MEDIA,PUBLIC RELATIONS AND COMMUNICATIONS| MEDIA
3331,REAL ESTATE,PROFESSIONAL SERVICES,REAL ESTATE|PROFESSIONAL SERVICES
3332,MARKETING AND ADVERTISING,"HOTELS, RESTAURANTS AND LEISURE","MARKETING AND ADVERTISING|HOTELS, RESTAURANTS AND LEISURE"
3333,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
3334,BIOTECHNOLOGY,PHARMACEUTICALS,BIOTECHNOLOGY|PHARMACEUTICALS
3335,HUMAN RESOURCES,INTERNET SOFTWARE AND SERVICES,HUMAN RESOURCES|INTERNET SOFTWARE AND SERVICES
3336,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3337,INTERNET,"TEXTILES, APPAREL AND LUXURY GOODS","INTERNET|TEXTILES, APPAREL AND LUXURY GOODS"
3338,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
3339,RENEWABLES AND ENVIRONMENT,GAS UTILITIES,RENEWABLES AND ENVIRONMENT|GAS UTILITIES
3340,EDUCATION MANAGEMENT,EDUCATION SERVICES,EDUCATION MANAGEMENT|EDUCATION SERVICES
3341,INTERNET,COMMUNICATIONS EQUIPMENT,INTERNET|COMMUNICATIONS EQUIPMENT
3342,THINK TANKS,INTERNET SOFTWARE AND SERVICES,THINK TANKS|INTERNET SOFTWARE AND SERVICES
3343,RESEARCH,COMMUNICATIONS EQUIPMENT,RESEARCH|COMMUNICATIONS EQUIPMENT
3344,INTERNET,CAPITAL MARKETS,INTERNET|CAPITAL MARKETS
3345,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3346,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3347,STAFFING AND RECRUITING,COMMUNICATIONS EQUIPMENT,STAFFING AND RECRUITING|COMMUNICATIONS EQUIPMENT
3348,INFORMATION TECHNOLOGY AND SERVICES,CAPITAL MARKETS,INFORMATION TECHNOLOGY AND SERVICES|CAPITAL MARKETS
3349,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3350,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3351,THINK TANKS,"TEXTILES, APPAREL AND LUXURY GOODS","THINK TANKS|TEXTILES, APPAREL AND LUXURY GOODS"
3352,NONPROFIT ORGANIZATION MANAGEMENT,INTERNET SOFTWARE AND SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|INTERNET SOFTWARE AND SERVICES
3353,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY|VENTURE CAPITAL AND PRIVATE EQUITY
3354,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
3355,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3356,CONSUMER SERVICES,FOOD AND STAPLES RETAILING,CONSUMER SERVICES|FOOD AND STAPLES RETAILING
3357,INTERNATIONAL AFFAIRS,COMMERCIAL SERVICES AND SUPPLIES,INTERNATIONAL AFFAIRS|COMMERCIAL SERVICES AND SUPPLIES
3358,"HEALTH, WELLNESS AND FITNESS",PROFESSIONAL SERVICES,"HEALTH, WELLNESS AND FITNESS|PROFESSIONAL SERVICES"
3359,MARKETING AND ADVERTISING,LEISURE PRODUCTS,MARKETING AND ADVERTISING|LEISURE PRODUCTS
3360,INTERNET,DIVERSIFIED TELECOMMUNICATION SERVICES,INTERNET|DIVERSIFIED TELECOMMUNICATION SERVICES
3361,COMPUTER SOFTWARE,COMMUNICATIONS EQUIPMENT,COMPUTER SOFTWARE|COMMUNICATIONS EQUIPMENT
3362,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3363,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
3364,INTERNATIONAL AFFAIRS,HIGHER EDUCATION,INTERNATIONAL AFFAIRS|HIGHER EDUCATION
3365,NONPROFIT ORGANIZATION MANAGEMENT,COMMUNICATIONS EQUIPMENT,NONPROFIT ORGANIZATION MANAGEMENT|COMMUNICATIONS EQUIPMENT
3366,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3367,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION
3368,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
3369,NONPROFIT ORGANIZATION MANAGEMENT,COMMERCIAL SERVICES AND SUPPLIES,NONPROFIT ORGANIZATION MANAGEMENT|COMMERCIAL SERVICES AND SUPPLIES
3370,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3371,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3372,INTERNET,"TEXTILES, APPAREL AND LUXURY GOODS","INTERNET|TEXTILES, APPAREL AND LUXURY GOODS"
3373,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3374,"LEISURE, TRAVEL AND TOURISM",FOOD AND STAPLES RETAILING,"LEISURE, TRAVEL AND TOURISM|FOOD AND STAPLES RETAILING"
3375,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3376,VENTURE CAPITAL AND PRIVATE EQUITY,CAPITAL MARKETS,VENTURE CAPITAL AND PRIVATE EQUITY|CAPITAL MARKETS
3377,PHILANTHROPY,"HOTELS, RESTAURANTS AND LEISURE","PHILANTHROPY|HOTELS, RESTAURANTS AND LEISURE"
3378,TELECOMMUNICATIONS,WIRELESS TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|WIRELESS TELECOMMUNICATION SERVICES
3379,INVESTMENT MANAGEMENT,CAPITAL MARKETS,INVESTMENT MANAGEMENT|CAPITAL MARKETS
3380,EXECUTIVE OFFICE,CAPITAL MARKETS,EXECUTIVE OFFICE|CAPITAL MARKETS
3381,VENTURE CAPITAL AND PRIVATE EQUITY,CONSTRUCTION AND ENGINEERING,VENTURE CAPITAL AND PRIVATE EQUITY|CONSTRUCTION AND ENGINEERING
3382,INTERNET,"TEXTILES, APPAREL AND LUXURY GOODS","INTERNET|TEXTILES, APPAREL AND LUXURY GOODS"
3383,GRAPHIC DESIGN,COMMUNICATIONS EQUIPMENT,GRAPHIC DESIGN|COMMUNICATIONS EQUIPMENT
3384,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3385,CONSUMER ELECTRONICS,COMMUNICATIONS EQUIPMENT,CONSUMER ELECTRONICS|COMMUNICATIONS EQUIPMENT
3386,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
3387,PHILANTHROPY,CAPITAL MARKETS,PHILANTHROPY|CAPITAL MARKETS
3388,INTERNATIONAL TRADE AND DEVELOPMENT,INTERNATIONAL TRADE AND DEVELOPMENT,INTERNATIONAL TRADE AND DEVELOPMENT|INTERNATIONAL TRADE AND DEVELOPMENT
3389,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
3390,ENTERTAINMENT,"TEXTILES, APPAREL AND LUXURY GOODS","ENTERTAINMENT|TEXTILES, APPAREL AND LUXURY GOODS"
3391,"HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS|HEALTH, WELLNESS AND FITNESS"
3392,POLITICAL ORGANIZATION,POLITICAL ORGANIZATION,POLITICAL ORGANIZATION|POLITICAL ORGANIZATION
3393,INTERNET,COMMUNICATIONS EQUIPMENT,INTERNET|COMMUNICATIONS EQUIPMENT
3394,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
3395,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
3396,PUBLIC POLICY,INTERNET SOFTWARE AND SERVICES,PUBLIC POLICY|INTERNET SOFTWARE AND SERVICES
3397,PHILANTHROPY,PHILANTHROPY,PHILANTHROPY|PHILANTHROPY
3398,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
