,ind1,ind2,combined
45,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
46,FINANCIAL SERVICES,INTERNET SOFTWARE AND SERVICES,FINANCIAL SERVICES|INTERNET SOFTWARE AND SERVICES
47,RETAIL,DIVERSIFIED CONSUMER SERVICES,RETAIL|DIVERSIFIED CONSUMER SERVICES
48,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
49,RETAIL,SPECIALTY RETAIL,RETAIL|SPECIALTY RETAIL
50,RETAIL,"HOTELS, RESTAURANTS AND LEISURE","RETAIL|HOTELS, RESTAURANTS AND LEISURE"
51,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
52,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
53,RETAIL,PHARMACEUTICALS,RETAIL|PHARMACEUTICALS
54,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
55,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
56,REAL ESTATE,DIVERSIFIED CONSUMER SERVICES,REAL ESTATE|DIVERSIFIED CONSUMER SERVICES
57,RENEWABLES AND ENVIRONMENT,PROFESSIONAL SERVICES,RENEWABLES AND ENVIRONMENT|PROFESSIONAL SERVICES
58,PROFESSIONAL TRAINING AND COACHING,PROFESSIONAL SERVICES,PROFESSIONAL TRAINING AND COACHING|PROFESSIONAL SERVICES
59,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
60,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
61,NONPROFIT ORGANIZATION MANAGEMENT,DIVERSIFIED CONSUMER SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|DIVERSIFIED CONSUMER SERVICES
62,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
63,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
64,COMPUTER SOFTWARE,EDUCATION SERVICES,COMPUTER SOFTWARE|EDUCATION SERVICES
65,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
66,CIVIL ENGINEERING,PROFESSIONAL SERVICES,CIVIL ENGINEERING|PROFESSIONAL SERVICES
67,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
68,PAPER AND FOREST PRODUCTS,REAL ESTATE,PAPER AND FOREST PRODUCTS|REAL ESTATE
