,total_score,industry
723,2.46,Business Supplies and Equipment
724,2.47,"Colleges & Universities,Education"
725,4.45,Retail
726,4.48,Hospital & Health Care
727,4.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
728,2.4,Computer Software
729,4.51,Telecommunications
730,3.46,Information Technology and Services
731,3.45,Computer Software
732,4.46,Internet
733,2.4,Internet
734,10.48,Information Technology and Services
738,3.44,Hospital & Health Care
741,10.46,Internet
742,10.47,Computer Software
743,10.44,Marketing and Advertising
744,3.45,Management Consulting
746,10.5,Marketing and Advertising
747,3.45,Internet
748,10.45,"Leisure, Travel & Tourism"
749,10.49,Education Management
750,10.47,Entertainment
752,10.47,Computer Software
753,3.45,Computer Software
755,3.4,Internet
756,10.47,"E-Learning
"
757,3.45,Information Technology and Services
758,3.45,Marketing and Advertising
761,10.45,Information Technology and Services
762,3.42,Higher Education
763,10.41,Computer Software
766,3.41,Consumer Electronics
769,10.47, Analytics
770,10.47,"Financial Services
"
771,3.47,"Computer Software
"
772,10.52,Consumer Electronics
773,10.47,Internet
774,3.42,"Oil & Energy
"
775,3.11,Sports
776,3.42,"Human Resources
"
777,10.47,"Computer Software
"
778,10.46,"Information Technology and Services
"
780,3.44,"Government Administration
"
781,10.48,"Hospitality
"
782,3.28,"Information Technology and Services
"
783,3.44,"Civic & Social Organization
"
784,3.43,"Computer Software
"
785,10.47,Internet
786,3.45,"Information Technology and Services
"
788,3.44,"Information Technology and Services
"
790,3.43,"Information Technology and Services
"
791,3.47,Computer Software
792,10.5,"Information Technology and Services
"
793,10.47,"Computer Software
"
794,3.45,Internet
797,3.46,"Education Management
"
798,3.45,"Hospital & Health Care
"
799,10.44,Real Estate
800,10.47,Internet
801,10.47,Construction
802,4.42,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
803,10.46,"Information Services
"
804,3.43,"Transportation/Trucking/Railroad
"
805,10.49,"Education Management
"
806,10.47,Internet
808,3.45,Accounting
809,3.45,"Human Resources & Staffing,Business Services,Software Development & Design,Software,Engineering Software"
811,3.43,"Information Technology and Services
"
813,3.38,Marketing and Advertising
814,3.45,"Staffing and Recruiting
"
815,10.45,"Human Resources
"
816,2.46,Staffing and Recruiting
817,10.46,Search Engine
818,4.41,Printing
819,10.47,Publishing
820,3.41,Information Technology and Services
821,3.44,"Marketing and Advertising
"
822,3.45,Music
824,10.45,"Nonprofit Organization Management
"
825,3.28,"Education Management
"
826,3.45,"Consumer Services
"
827,10.47,Internet
828,10.47,"Consumer Services
"
829,10.47,"Engineering Software,Software Development & Design,Software,Retail Software"
830,3.22,"Online Media
"
832,3.38,Internet
833,10.46,Nonprofit Organization Management
834,10.45,Computer Software
835,3.41,Computer Software
836,10.43,Nonprofit Organization Management
837,10.44,Retail
838,3.44,Information Services
839,3.43,"Information & Document Management,Business Services,Custom Software & Technical Consulting,Software"
841,3.45,Human Resources
842,10.51,"Health, Wellness and Fitness"
843,10.44,Government Administration
844,3.29,Internet
845,10.49,Greater Pittsburgh Area
846,3.43,Logistics and Supply Chain
848,10.47,E-Learning
849,10.48,Internet
850,10.48,Information Technology and Services
851,2.46,Computer Software
853,10.47,Education Management
854,10.5,"Entertainment
"
856,3.46,Internet
857,3.44,Computer Software
858,10.43,Information Technology and Services
859,3.43,Internet
860,3.45,Higher Education
864,3.46,Financial Services
867,3.42,Marketing and Advertising
870,2.46,"Medical Devices & Equipment,Manufacturing"
871,3.42,Information Technology and Services
872,3.4,Computer Software
873,3.48,Information Technology and Services
874,3.44,Computer Software
875,3.47,"Telecommunication Equipment,Manufacturing,Software Development & Design,Software,Telecommunications"
876,10.48,"
Broadcast Media"
877,10.48,Printing
878,10.46,Computer Software
879,10.47,Hospital & Health Care
882,10.49,Computer Software
884,10.49,Libraries
885,2.42,Computer Software
886,3.37,"Software Development & Design,Software,Financial, Legal & HR Software,Accounting & Accounting Services,Business Services,Engineering Software"
887,3.38,Computer Software
889,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
892,10.47,Music
893,10.45,Information Technology and Services
894,10.46,Internet
895,10.46,Events Services
897,3.44,Accounting
899,3.47,Automotive
900,10.48,Entertainment
902,3.44,Information Technology and Services
903,10.49,Internet
904,10.47,infomation tehnologies and services
905,10.48,"Leisure, Travel & Tourism
"
906,10.47,Entertainment
907,10.46,Staffing and Recruiting
908,10.47,Information Technology and Services
909,10.47,Music
910,3.46,Computer Software
911,3.45,music instrument
912,3.44,Internet
914,10.49,Computer Software
915,10.44,"Telecommunications,Telephony & Wireless"
916,3.48,E-Learning
917,10.46,Computer Software
918,10.47,Information Technology and Services
920,3.19,Financial Services
921,10.48,Nonprofit Organization Management
922,3.44,consumer services
923,3.42,"Medical Testing & Clinical Laboratories,Healthcare"
924,10.48,Goverment administration
925,3.43,internet
926,10.48,Information Technology and Services
927,3.44,Computer Software
928,3.43,Information Technology and Services
929,3.44,Environmental Services
930,10.47,computer software
931,10.46,Computer Software
933,3.41,Telecommunications
934,10.49,utilities
935,10.44,Computer Software
936,10.48,Entertainment
937,3.44,Accounting
938,10.47,marketing and advertising
939,3.43,ITS
940,3.45,Marketing and Advertising
941,10.46,Computer Software
942,10.48,Media Production
943,10.48,computer software
944,3.47,Internet
945,3.47,Internet
946,3.22,Computer Software
947,10.51,sports
949,10.47,online media
950,3.46,Information Technology and Services
951,10.46,Nonprofit Organization Management
952,3.45,internet
953,3.46,telecommunication
954,10.47,internet
955,10.46,computer games
956,10.43,Consumer Electronics
957,3.47,Information Technology and Services
958,3.41,ITS
959,10.47,internet
960,10.46,Computer Software
962,3.44,E-Learning
963,3.43,Internet
965,10.43,Human Resources
966,3.44,Information Technology and Services
967,10.46,Internet
969,10.46,Computer Software
970,10.47,Financial Services
971,3.33,Computer Software
972,2.46,Information Technology and Services
973,3.42,Computer Software
975,3.32,Computer Software
976,10.5,Higher Education
977,3.35,Internet
978,10.47,Professional Training & Coaching
979,3.46,Computer Software
980,3.43,Broadcast Media
981,8.33,Internet
982,10.46,Internet
983,3.44,Information Technology and Services
986,10.47,Publishing
987,10.47,Computer Software
990,10.49,Computer Software
991,3.46,Computer Software
992,3.43,Information Technology and Services
993,8.42,Information Technology and Services
994,10.47,Internet
995,3.42,Gambling & Casinos
996,2.43,Marketing and Advertising
997,3.46,Information Technology and Services
998,10.48,Real Estate
999,10.47,Information Technology and Services
1001,3.43,Internet
