,index,0
350,information technology and services,343
351,hospital and health care,344
352,higher education,345
353,defense and space,346
354,travel agencies and services,347
355,consumer services,347
356,software development and design,348
357,software,348
358,consumer electronics,348
359,consumer goods,348
360,telecommunication equipment,348
361,manufacturing,348
362,engineering software,348
363,international trade and development,349
364,airlines,350
365, airports and air services,350
366,transportation,350
367,computer software,351
368,information technology and services,352
369,internet,353
370,computer software,354
371,computet software,355
372,information technology and services,356
373,software development and design,357
374,software,357
375,information and document management,357
376,business services,357
377,health,358
378, wellness and fitness,358
379,hospital and health care,359
380,software development and design,361
381,software,361
382,engineering software,361
383,business intelligence software(bi),361
384,enterprise resource planning software(erp),361
385,leisure,362
386, travel and tourism,362
387,airlines,363
388, airports and air services,363
389,transportation,363
390,human resources,364
391,information technology and services,365
392,hospital and health care,366
393,real estate,367
394,financial services,368
395,publishing,369
396,computer software,370
397,marketing and advertising,371
398,software development and design,372
399,software,372
400,test and measurement equipment,372
401,manufacturing,372
402,energy,372
403, utilities and waste treatment,372
404,information technology and services,373
405,internet,374
406,internet,375
407,computer software,376
408,telecommunications,377
409,software development and design,378
410,software,378
411,financial,378
412, legal and hr software,378
413,internet,381
414,computer games,382
415,marketing and advertising,383
416,internet,384
417,information technology and services,385
418,financial services,386
419,computer software,388
420,information technology and services,389
421,marketing and advertising,390
422,sports,391
423,medical testing and clinical laboratories,392
424,healthcare,392
425,drug manufacturing and research,392
426,pharmaceuticals,392
427,business services,392
428,biotechnology,392
429,computer software,394
430,transportation/trucking/railroad,395
431,information services,396
432,search engines and internet portals,397
433,media and internet,397
434,publishing,397
435,financial services,399
436,information technology and services,400
437,financial services,401
438,software development and design,402
439,software,402
440,custom software and technical consulting,402
441,computer software,403
442,information technology and services,404
443,research,405
444,telecommunications,406
445,higher education,407
446,software development and design,410
447,software,410
448,engineering software,410
449,content and collaboration software,410
450,freight and logistics services,411
451,transportation,411
452,computer software,412
453,search engines and internet portals,413
454,media and internet,413
455,accounting,414
456,renewables and environment,415
457,apparel and accessories,417
458,retail,417
459,textiles and apparel,417
460,consumer goods,417
461,manufacturing,417
462,search engines and internet portals,418
463,media and internet,418
464,information technology and services,419
465,events services,420
466,search engines and internet portals,421
467,media and internet,421
468,apparel and accessories,421
469,retail,421
470,telecommunications,422
471,manufacturing,423
472,telecommunication equipment,423
473,computer networking equipment,423
474,computer equipment and peripherals,423
475,telecommunications,423
476,internet service providers,423
477, website hosting and internet-related services,423
478,automotive,424
479,financial services,425
480,call centers and business centers,426
481,business services,426
482,telecommunications,426
483,research,427
484,information technology and services,428
485,libraries,430
486,computer software,431
487,airlines/aviation,432
488,design,433
489,computer software,434
490,computer and network security,436
491,higher education,437
492,investment management,438
493,writing and editing,439
494,consumer electronics,441
495,consumer goods,441
496,manufacturing,441
497,information technology and services,442
498,financial services,443
499,petrochemicals,444
500,chemicals,444
501, petrochemicals,444
502, glass and gases,444
503,manufacturing,444
504,electricity,444
505, oil and gas,444
506,energy,444
507, utilities and waste treatment,444
508,chemicals,444
509,gas stations,444
510, convenience and liquor stores,444
511,retail,444
512,design,445
513,information technology and services,446
514,public safety,447
515,electrical/electronic manufacturing,448
516,advertising and marketing,449
517,business services,449
518,software development and design,449
519,software,449
520,charitable organizations and foundations,451
521,organizations,451
522,venture capital and private equity,452
523,telecommunications,453
524,telecommunications,454
525,flowers,455
526, gifts and specialty,455
527,retail,455
528,computer software,456
529,financial services,457
530,computer software,458
531,computer software,460
532,software development and design,461
533,software,461
534,engineering software,461
535,information technology and services,463
536,financial services,464
537,financial services,465
538,banking,466
539,transportation/trucking/railroad,467
540,computer software,468
541,information technology and services,469
542,information technology and services,470
543,higher education,471
544,computer software,472
545,internet,473
546,publishing,475
547,media and internet,475
548,marketing and advertising,476
549,health,477
550, wellness and fitness,477
551,medical devices,478
552,software development and design,479
553,software,479
554,custom software and technical consulting,479
555,healthcare software,479
556,information technology and services,480
557,information technology and services,481
558,internet,482
559,software development and design,483
560,software,483
561,custom software and technical consulting,483
562,environmental services,484
563,online media,485
564,nonprofit organization management,486
565,consumer electronics,487
566,airlines/aviation,488
567,information technology and services,492
568,internet,493
569,online media,495
570,health,496
571, wellness and fitness,496
572,computer software,497
573,information technology and services,498
574,computer software,499
575,computer networking,500
576,computer software,501
577,information technology and services,502
578,computer software,503
579,internet,504
580,computer software,505
581,online media,506
582,automotive,507
583,advertising and marketing,508
584,business services,508
585,software development and design,508
586,software,508
587,customer relationship management software(crm),508
588,computer software,509
589,software development and design,510
590,software,510
591,information technology and services,511
592,software development and design,512
593,software,512
594,engineering software,512
595,business intelligence software(bi),512
596,enterprise resource planning software(erp),512
597,software development and design,513
598,software,513
599,engineering software,513
600,business intelligence software(bi),513
601,enterprise resource planning software(erp),513
602,information technology and services,514
603,marketing and advertising,515
604,travel agencies and services,518
605,consumer services,518
606,information services,520
607,studiod,521
608,software development and design,522
609,software,522
610,engineering software,522
611,software development and design,524
612,software,524
613,information and document management,524
614,business services,524
615,business intelligence software(bi),524
616,aviation and aerospace,526
617,information technology and services,527
618,computer software,529
619,software development and design,530
620,software,530
621,engineering software,530
622,business intelligence software(bi),530
623,enterprise resource planning software(erp),530
624,computer software,531
625,internet,533
626,software development and design,534
627,software,534
628,engineering software,534
629,consumer electronics,534
630,consumer goods,534
631,telecommunication equipment,534
632,manufacturing,534
